iter	Passed	Remaining
0	60	60826
1	61	30589
2	61	20492
3	62	15454
4	62	12424
5	62	10409
6	63	8967
7	63	7887
8	63	7045
9	64	6370
10	64	5820
11	65	5359
12	65	4969
13	65	4636
14	66	4346
15	66	4093
16	66	3872
17	67	3675
18	67	3497
19	68	3338
20	68	3192
21	68	3060
22	69	2940
23	69	2831
24	70	2731
25	70	2636
26	70	2549
27	71	2468
28	71	2393
29	71	2323
30	72	2258
31	72	2196
32	73	2139
33	73	2084
34	73	2032
35	74	1983
36	74	1938
37	74	1897
38	75	1855
39	75	1815
40	76	1777
41	76	1742
42	76	1708
43	77	1674
44	77	1643
45	77	1613
46	78	1585
47	78	1558
48	78	1531
49	79	1506
50	79	1483
51	80	1459
52	80	1437
53	80	1416
54	81	1395
55	81	1375
56	81	1355
57	82	1337
58	82	1319
59	83	1301
60	83	1284
61	83	1268
62	84	1252
63	84	1236
64	84	1222
65	85	1207
66	85	1194
67	85	1178
68	86	1166
69	86	1154
70	87	1142
71	87	1130
72	88	1118
73	88	1106
74	88	1095
75	89	1084
76	89	1073
77	89	1063
78	90	1052
79	90	1042
80	91	1033
81	91	1024
82	91	1014
83	92	1005
84	92	994
85	92	985
86	92	975
87	93	966
88	93	958
89	93	950
90	94	942
91	94	934
92	95	927
93	95	920
94	95	913
95	96	906
96	96	898
97	96	892
98	97	885
99	97	878
100	98	872
101	98	864
102	98	857
103	98	852
104	99	846
105	99	841
106	100	835
107	100	829
108	100	823
109	101	818
110	101	813
111	101	808
112	102	803
113	102	798
114	103	792
115	103	787
116	103	782
117	104	777
118	104	772
119	104	767
120	105	762
121	105	758
122	105	752
123	105	748
124	106	743
125	106	739
126	106	735
127	107	730
128	107	726
129	107	722
130	108	718
131	108	714
132	109	710
133	109	706
134	109	702
135	110	699
136	110	695
137	110	691
138	111	688
139	111	684
140	111	681
141	112	678
142	112	674
143	112	671
144	113	668
145	113	665
146	114	662
147	114	659
148	114	655
149	115	652
150	115	649
151	115	646
152	116	644
153	116	641
154	117	638
155	117	635
156	117	632
157	118	629
158	118	626
159	118	624
160	119	622
161	119	619
162	120	616
163	120	614
164	121	614
165	121	612
166	122	609
167	122	606
168	122	604
169	123	601
170	123	599
171	123	596
172	124	594
173	124	592
174	125	589
175	125	587
176	125	585
177	126	582
178	126	580
179	127	578
180	127	575
181	127	573
182	127	571
183	128	569
184	128	566
185	129	564
186	129	562
187	129	560
188	130	558
189	130	556
190	130	554
191	131	552
192	131	550
193	131	548
194	132	546
195	132	544
196	133	542
197	133	540
198	133	538
199	134	536
200	134	534
201	134	532
202	135	531
203	135	529
204	136	528
205	136	526
206	136	524
207	137	522
208	137	521
209	138	519
210	138	517
211	138	515
212	139	514
213	139	512
214	139	510
215	140	508
216	140	507
217	140	505
218	141	503
219	141	502
220	141	500
221	142	498
222	142	497
223	143	495
224	143	494
225	143	492
226	144	491
227	144	489
228	144	487
229	145	486
230	145	484
231	145	483
232	146	481
233	146	480
234	147	478
235	147	477
236	147	475
237	148	474
238	148	472
239	148	471
240	149	469
241	149	468
242	149	467
243	150	465
244	150	464
245	151	462
246	151	461
247	151	460
248	152	458
249	152	457
250	152	456
251	153	454
252	153	453
253	153	452
254	154	450
255	154	449
256	155	448
257	155	446
258	155	445
259	156	444
260	156	442
261	156	441
262	157	440
263	157	438
264	157	437
265	158	436
266	158	435
267	158	434
268	159	432
269	159	431
270	159	430
271	160	429
272	160	428
273	161	426
274	161	425
275	161	424
276	162	423
277	162	422
278	162	421
279	163	419
280	163	418
281	164	417
282	164	416
283	164	415
284	165	414
285	165	412
286	165	411
287	166	410
288	166	409
289	166	408
290	167	407
291	167	406
292	167	405
293	168	403
294	168	402
295	168	401
296	169	400
297	169	399
298	170	398
299	170	397
300	170	397
301	171	395
302	171	395
303	172	394
304	172	393
305	172	392
306	173	390
307	173	389
308	173	388
